,Total Food Expenditure,Bread and Cereals Expenditure,Total Rice Expenditure,Meat Expenditure,Total Fish and  marine products Expenditure,Fruit Expenditure,Vegetables Expenditure,Restaurant and hotels Expenditure,Alcoholic Beverages Expenditure,Tobacco Expenditure,"Clothing, Footwear and Other Wear Expenditure",Housing and water Expenditure,Medical Care Expenditure,Transportation Expenditure,Communication Expenditure,Education Expenditure,Miscellaneous Goods and Services Expenditure,Special Occasions Expenditure
8717,95530,24034,12150,13340,11894,2692,2259,29110,0,8800,26520,62814,3697,780,8280,0,11568,0
8718,66984,21341,16290,11120,2008,1067,2810,9070,1010,10860,2650,41022,1692,8790,2076,0,6624,0
8719,178989,33696,17175,27802,16962,2935,9850,39250,1560,0,13550,65670,2073,13380,16962,17500,18216,7000
8720,130333,24412,7300,16044,7962,3435,5751,20860,0,0,5330,50010,4468,20280,13770,18920,25620,5000
8721,105778,38553,24336,9132,9077,1395,6545,11850,0,0,2100,56850,4779,12264,702,1250,11076,0
8722,205753,38806,24720,32925,28971,3195,9910,61570,6760,16290,3500,57258,1917,37572,2838,16120,36066,0
8723,201546,43196,18928,52276,15760,4323,5237,45670,7055,0,15000,55620,8057,9462,21114,39020,35442,11000
8724,238620,72442,19136,46614,22166,6424,6625,34960,0,0,3990,76560,4820,43680,31860,76000,30600,30000
8725,46027,12517,6578,5540,8325,890,4350,0,0,0,1250,71640,2172,468,438,0,6012,0
8726,66343,20045,16881,7566,10189,3260,4079,9900,0,0,3200,57060,1170,25644,4680,1020,14028,2000
8727,129759,24061,18545,17584,7513,700,4115,59970,0,0,1700,41220,1664,38688,3294,980,23496,0
8728,128515,32394,22797,23962,17890,2200,5796,23980,0,543,850,100860,220,16638,1920,30500,12528,0
8729,70133,17274,7786,18372,6610,2610,869,2160,0,0,1950,31566,70540,6534,600,250,8058,50000
8730,193792,39295,28600,42862,17399,5380,7627,62475,300,2715,8828,182760,14086,64140,41652,48000,45120,20000
8731,277479,55329,35044,55806,15546,5655,8907,92800,1200,0,7150,75306,1544,65274,30804,94200,37086,0
8732,85209,21713,14278,19657,2582,1770,2887,12260,0,0,4860,87282,1104,10812,10902,21498,16338,0
8733,178732,39502,25272,30776,17998,4660,6360,46900,0,0,10488,91620,900,57498,8574,147560,19938,38000
8734,39241,11933,8820,4330,7250,480,1090,8100,4296,10860,570,17988,28,29550,1818,0,5988,0
8735,89218,25090,19950,23900,12690,1986,3671,98,0,1086,2250,28158,3738,3312,1302,270,4842,0
8736,86740,21825,16860,9744,14836,2123,3275,17789,510,3982,350,29424,168,8958,3000,9440,9948,0
8737,127264,25548,21300,24405,30108,7050,8725,8334,420,2236,11300,72876,1515,32646,13410,0,18438,16000
8738,238304,54118,41392,46458,42987,4590,10140,22340,340,12670,7050,50904,2062,92466,11568,600,33414,11500
8739,165988,40591,30888,31660,22538,8125,6476,14400,1170,1358,3880,87720,3732,34068,7560,2300,25842,2000
8740,114969,32626,28140,25634,13922,5204,5827,9720,1122,2715,4220,34440,1716,22764,3120,29500,15108,6000
8741,88340,18966,13832,16250,9744,2410,6670,15300,255,0,2670,42510,1643,35256,6600,300,23856,0
8742,231370,42489,23693,68084,18257,2827,6793,35300,15395,8280,30550,72600,1818,30894,5850,1145,12636,0
8743,83165,22292,15458,11208,9266,3475,5011,14580,0,0,1150,45588,1627,22776,3588,0,17646,1800
8744,83728,30754,20164,15155,11374,2240,2615,10010,1040,0,1670,32724,314,6036,1950,1140,7188,2000
8745,120198,27998,15425,41599,13046,5003,8194,5100,0,0,2860,61830,1165,3378,1926,180,7764,5000
8746,75493,13831,9620,4228,3327,1485,2067,18180,1040,0,760,24216,1222,4674,1038,0,10458,10000
8747,111530,31424,18122,20430,15244,2412,4791,16450,1776,5430,4070,53760,160,21054,1872,22500,11934,0
8748,115171,40140,29030,15523,22526,2160,7925,3500,170,8688,6460,28098,3504,23298,6234,200,22524,2000
8749,165579,44746,33757,24982,15920,1230,4215,50920,510,0,4330,36684,130,1518,1248,560,16062,2500
8750,66072,18664,14350,6828,8149,1692,1772,13710,1080,0,530,28056,661,13746,726,0,5622,0
8751,173554,41950,32220,42676,26865,3835,13687,10650,2912,0,5710,46116,531,25890,5850,14400,15972,3000
8752,92353,37279,19838,12015,15724,1285,6360,6700,0,1456,1860,32184,186,14616,1506,390,11502,5000
8753,128965,46884,38406,22759,25848,654,6654,10375,3120,0,990,61116,6610,1242,3354,90,7236,3000
8754,87756,18536,8892,23971,8072,2345,5056,6270,0,0,2180,75744,1376,3924,1116,2130,13530,0
8755,246512,81750,49137,45930,19710,4396,17745,6100,0,0,27634,177528,130385,64092,36600,15000,116418,10000
8756,63067,26967,17640,10206,8976,845,3323,4080,0,0,1205,32790,2264,8292,2496,1200,6162,0
8757,124310,26504,14690,26466,17896,1782,7760,14388,1500,3439,10730,68802,13764,20178,4026,13180,18342,38900
8758,187805,43287,33516,27142,19274,2326,7367,39690,1502,8145,9294,40668,1269,65622,3000,21577,34176,4140
8759,77239,15654,12440,9814,11676,1090,5566,15840,480,5570,2635,29316,199,4314,0,0,4788,1000
8760,104454,27392,16900,17098,15784,2600,9020,12370,120,2896,2745,29130,368,4992,3120,1102,12426,300
8761,118078,24358,16640,30524,17991,1657,11545,3660,1820,0,2485,51384,2426,22284,3702,1540,15132,1500
8762,39192,11151,8268,4192,8960,1686,4319,1950,0,1448,1450,18228,10464,3330,1326,0,4686,0
8763,141251,29799,23530,31111,9877,2933,6555,26207,836,0,1450,48912,9089,40344,10476,1410,25272,2000
8764,81554,19999,11934,14719,8648,2381,9766,10340,0,0,3820,39696,569,4992,2700,900,10524,0
8765,120670,34001,18256,29540,14299,4397,8560,10700,840,9412,7375,43896,284,12192,12288,1564,8616,4000
8766,63142,22830,15080,6809,5840,582,3741,11500,0,0,1850,30216,3290,11556,1200,1360,13212,0
8767,96801,26730,20904,24100,11052,992,4736,14180,702,7240,5700,50760,3041,14886,6474,1800,27846,600
8768,122422,34784,29684,12786,25078,890,5938,16040,0,3982,2950,24900,9026,12738,0,0,15270,2000
8769,37936,15946,10816,3435,3422,370,2513,7050,0,0,215,28956,90,2784,1092,6430,3588,0
8770,55927,16796,11336,10533,9204,1620,3810,2200,0,0,1735,30264,258,2676,1998,380,9396,0
8771,38422,10130,5720,6606,3995,2840,2130,4795,84,0,520,36036,17404,3324,3114,0,7008,0
8772,235238,33508,14300,34514,21260,2883,14112,87887,0,0,9615,62760,8586,59124,33660,48000,30954,3000
8773,103631,17732,7839,12926,8430,2700,4885,41640,0,0,5620,22260,6950,16026,4200,0,22668,27000
8774,102732,23536,17280,12312,8881,2061,8888,24425,555,0,9298,30960,5488,8286,9180,9360,19704,0
8775,158099,25960,17056,25076,12576,2210,11297,48010,3286,0,2070,33264,2070,15096,4326,915,13074,3500
8776,43202,832,0,0,0,0,0,40810,220,0,2900,21576,94,11352,4212,0,14304,2000
8777,178730,31683,24440,31706,16224,7117,6042,42100,250,0,22579,134502,4332,64836,29370,59800,27984,4000
8778,165128,30935,24700,26681,12865,4567,5122,51570,0,0,9850,99030,5920,52716,14016,133340,41514,0
8779,80864,10877,6396,15984,12822,1535,5273,20000,0,0,4160,20280,51816,14034,2040,0,14832,0
8780,49504,8893,3986,4805,1975,995,1904,15576,0,0,1575,19662,563,8898,1824,0,16308,0
8781,193388,41634,28816,32836,34717,2480,12088,37940,1800,0,7750,122304,17090,5544,15876,1600,23886,4500
8782,318337,50894,28250,45745,28700,8220,13396,111020,720,0,12380,92940,14818,11736,5706,1950,28350,17000
8783,166958,22326,14590,23136,18267,5523,17337,18700,650,2715,8750,70578,12689,15846,9294,0,20370,5000
8784,98114,16941,10400,14195,6817,1230,3997,40860,0,0,5560,21810,755,15912,5040,0,20088,2200
8785,47605,9474,6474,3080,801,965,1872,25860,0,0,3000,34440,300,6984,2208,0,10530,2000
8786,245130,51962,44278,32630,14614,3908,3379,83637,1170,2409,1950,48672,2886,18792,5934,1040,46296,0
8787,96248,16892,10452,20400,4996,2238,1037,32700,510,0,5030,29370,4570,3720,3246,0,23046,0
8788,136106,34832,22420,23298,13747,2120,4005,30750,4836,6782,6420,54774,1058,13674,9564,300,25986,0
8789,79809,14122,10894,20141,4828,2820,1258,24240,120,0,4400,21990,7001,2196,5460,0,17226,0
8790,70589,8534,5850,1482,204,1300,45,47651,0,0,1880,19992,944,2052,3378,0,15750,0
8791,119242,26466,18720,29330,16776,3150,2910,19500,870,6085,4855,50760,6950,7026,2070,18780,14322,0
8792,108041,39289,22360,6884,5434,2377,2535,32735,0,5430,1585,27198,3946,990,6156,800,14358,0
8793,118383,42200,32920,19890,3072,1510,3665,25695,144,3027,2588,27426,1563,5430,3354,450,22122,5000
8794,176072,41510,30576,24340,9648,4375,3171,53790,420,1326,4370,42966,2328,9048,7572,1200,60390,10000
8795,44809,4639,3510,1980,857,390,45,32090,0,0,1700,16122,728,8790,1920,0,12042,0
8796,99211,22596,11830,7040,11798,3340,7576,26640,0,0,7840,43590,70430,8472,5460,19600,16110,4000
8797,225186,29951,20540,39743,14888,8690,13417,90378,0,0,13200,64830,6246,40290,9402,0,43362,14400
8798,131588,19676,13785,17760,13766,2650,5230,54690,540,0,5279,101712,27981,19182,17892,0,50358,0
8799,102009,14910,8944,20166,7240,3710,4210,40790,360,0,5720,36900,757,15600,4500,0,21978,1500
8800,111608,19078,14040,25118,6768,1924,3585,34200,0,724,22535,102702,9592,26040,5598,29050,23652,25500
8801,88943,11682,9750,1710,1475,3755,1740,45160,170,4344,850,48084,969,6042,1686,0,7356,11560
8802,92417,24540,15764,13340,3588,2945,2000,29100,0,0,4854,43980,1245,14508,2808,630,17988,5400
8803,72125,28832,24880,5373,6753,602,2917,13240,0,0,1700,68856,426,14058,3642,300,9000,0
8804,153376,43586,27420,20315,7540,1595,5702,60770,9566,13575,650,33966,936,27060,3522,670,27180,10000
8805,179437,38425,26250,25690,14704,2220,4780,29040,3120,1426,5800,127422,30443,27378,9228,93500,30030,10000
8806,125116,15186,12448,4216,6872,1232,2810,60840,550,469,7459,37944,20254,23310,1008,0,14802,16000
8807,106982,22083,10630,16047,13358,8288,6466,18600,0,0,20383,96636,2496,14670,4392,40880,21360,4500
8808,132366,14431,9625,18001,5233,3109,4965,15200,500,0,24455,35202,5365,6732,5376,0,30048,9520
8809,70220,24329,17160,8107,5181,1580,5500,8520,300,5430,13025,35328,2945,23814,3222,1800,22476,650
8810,100227,14824,10177,6584,3076,1285,3425,56780,540,4978,7099,18540,2527,37440,3450,377,21228,0
8811,76761,15951,12247,11250,4300,735,4024,27300,807,2700,10495,42438,4280,33282,2598,1806,16566,10500
8812,125945,30723,25305,26601,7799,5517,5595,35500,2710,7354,10700,32886,4731,7488,3000,450,13698,1490
8813,76665,6660,4015,9622,4791,2865,8084,28910,3335,0,17555,64428,3535,15690,1320,0,32958,5000
8814,99079,34034,24887,7668,8649,3455,3803,20110,1490,2532,11640,92850,1400,12960,6378,1060,22500,0
8815,25634,9833,8930,3115,1240,949,1772,3948,0,0,1120,70596,1955,12366,2478,5000,7758,0
8816,78309,15150,12880,11857,10140,110,5680,24820,3035,4344,6450,64560,1025,40926,25164,21850,16512,0
8817,114156,30898,21520,20904,11962,6136,8709,15080,684,1295,6580,108270,42715,71364,9558,20448,23940,13000
8818,76009,17333,10580,10058,9416,2454,6621,13430,0,0,5120,38112,9245,13650,1698,200,16212,0
8819,80557,36189,32030,3640,7523,1000,3701,7825,2960,5435,5180,32658,6505,22758,3984,1260,20142,45000
8820,85825,9194,8172,19060,18401,2925,2795,20680,0,0,1100,56298,1512,3912,11970,695,15354,0
8821,44385,1596,480,0,820,160,140,35965,75,15034,640,14016,90,1764,0,0,1872,0
8822,120928,19823,15612,14768,10883,1500,2439,56792,0,0,1910,23616,2418,23346,1224,500,7452,7000
8823,204944,43359,35400,39357,40280,4242,4190,37062,0,7240,9120,48918,74633,35130,9462,0,56346,24000
8824,98657,20846,17888,13184,9404,2111,2045,37420,0,0,6500,35280,2517,19866,8898,60150,20358,1500
8825,197693,30612,24760,36780,21120,3765,2595,79790,0,0,12750,61740,795,51384,12480,67000,34248,32000
8826,120378,34276,29250,28355,8760,1974,5926,21280,2700,2080,3650,72882,221,21840,17316,0,27912,0
8827,85826,17184,9300,15635,8229,2885,1235,28350,0,7240,5700,44190,7350,25704,3450,11060,22044,17000
8828,208880,34361,28080,45325,39202,2750,7770,50500,0,0,5840,50520,1290,35712,11838,13910,40404,0
8829,171032,37267,24596,39665,12636,3860,6550,42840,450,0,5030,54900,7378,66840,21192,86700,25698,2500
8830,249661,34718,17300,36475,7834,9197,10690,121100,0,0,15300,77892,2576,62712,17916,46500,41910,2000
8831,34244,7796,3576,7260,3115,2765,5643,520,0,0,120,67272,1973,720,5022,0,4014,0
8832,177041,36774,24480,42930,12174,3010,3933,51648,0,0,6200,73140,1618,49296,14694,13200,37176,0
8833,131904,31518,26130,8810,24395,7310,6160,21100,0,0,4300,72300,26399,40878,23694,0,45888,5000
8834,188772,39399,33124,12631,12976,17544,12385,52780,0,0,6680,69714,49035,35952,20190,136350,31344,7000
8835,179978,34357,23648,31108,16294,6930,8460,33827,0,0,20425,106230,1474,34284,8094,171850,23760,28350
8836,216246,38784,25376,21690,14262,13645,7883,97550,0,0,6900,81258,1010,66936,36600,109100,12258,14000
8837,140108,37868,30328,15070,17910,3297,4865,36960,0,0,18850,43710,12744,15252,11994,34270,11244,0
8838,159434,35828,23440,24798,13880,4500,7932,33570,0,0,8380,75846,18626,36504,33216,41460,46284,0
8839,195121,31453,20540,38484,13651,3241,5636,73060,1550,0,18350,74550,22656,69330,48264,145386,70614,10000
8840,61101,10076,6760,1860,2656,480,1346,36760,0,2172,1170,35838,208,10464,1026,4000,3732,0
8841,240381,46318,25116,39386,22204,7393,7070,61640,0,0,4410,75330,2988,137700,23892,38250,61752,0
8842,121290,22682,11640,23236,14620,6643,7546,7968,0,0,6335,66000,4486,10626,16578,32100,7422,0
8843,137560,28635,14544,33112,20794,6563,8400,7450,0,0,275,70890,7549,8232,2910,22400,18216,0
8844,113266,26500,9560,26425,14836,5319,7035,7200,3640,9050,12260,56820,9432,4446,11376,2080,11082,0
8845,80690,19314,13260,17940,12025,5306,5770,1900,0,0,1300,57948,4726,6642,5802,15000,14958,0
8846,104723,31001,22880,21692,11903,1810,6915,10640,1508,0,5030,45270,115,14664,5202,32850,22632,0
8847,129684,23790,19630,25348,10152,2890,5955,10210,0,0,18860,93900,4772,1422,14766,11300,8730,20000
8848,99985,19985,14612,11748,22444,12555,7472,2800,0,543,2560,63498,6406,14280,1614,0,13566,0
8849,163156,37989,31733,15188,17696,3020,5908,31470,0,0,5329,54318,4614,18828,2196,11360,32004,0
8850,162260,31318,26672,13272,28366,5115,7983,39670,1440,3258,5897,43620,6088,21006,8166,600,21240,10000
8851,47618,11758,10146,5688,7614,630,2297,12731,780,0,990,8208,247,1080,2496,0,5178,0
8852,74778,27156,19568,2970,6694,2055,2092,16860,3080,3439,1535,14520,192,864,0,165,4728,0
8853,126623,22663,16848,16666,14489,2270,7078,48005,1820,0,7819,38400,200,11292,3906,20140,10794,0
8854,71942,14627,7800,10027,10225,3195,4759,4610,2210,0,2735,24222,1542,4116,3744,1120,13302,1000
8855,93240,25760,17992,13712,14014,2340,4450,14670,0,7240,2630,19554,2186,8136,1560,0,28296,14200
8856,206536,37370,22618,34474,35832,5085,7550,41226,0,14480,29340,110850,41372,43806,14394,29050,24252,0
8857,167380,30395,23270,14830,10800,8166,5715,49470,0,0,3230,63534,10878,21474,9018,5000,14946,29000
8858,15024,3734,2036,728,1370,705,1125,5430,0,0,200,7332,120,240,0,0,1266,0
8859,125296,31088,23565,23076,11316,2976,7430,19406,0,0,4020,31422,767,564,2622,3540,12414,5700
8860,166849,54687,48488,20513,17266,3565,10125,34222,0,7693,6990,12102,175,13632,12198,10150,20130,1500
8861,183257,43123,36300,38864,19256,2005,8455,29497,200,0,4615,44382,7667,22218,8310,22225,20628,8000
8862,140916,24322,15120,24468,17761,7672,6910,38960,0,0,7985,62442,6765,22518,11058,15100,25380,0
8863,151394,30253,19500,21468,23260,3560,3518,39635,3515,17376,9280,34260,15773,13098,5718,720,28242,10000
8864,163045,40560,23860,25015,13434,7755,7690,34197,4316,0,8987,23922,27313,9486,3108,2260,23238,1000
8865,160455,36519,29444,22597,35476,3520,6153,34090,2530,0,3010,39090,614,14214,2010,1554,16842,12000
8866,65222,20844,13924,1530,3082,1370,596,24210,0,11765,2250,31698,10824,3798,5298,0,6138,0
8867,125823,27038,15026,9697,6116,2510,1295,65490,0,0,1710,42000,1540,25818,3696,5980,11268,0
8868,188068,45436,23640,49452,17470,8819,10192,21180,0,16290,3675,45102,3568,4542,19254,1720,12246,0
8869,68187,16848,11266,4617,10796,1983,4840,10250,0,9955,1430,22002,1295,5742,1098,0,5322,0
8870,80587,15310,11700,14140,5783,420,2655,24580,0,0,3000,13032,60,21294,2718,0,15054,0
8871,84274,34851,29865,7371,9285,1822,4628,10079,660,0,4575,29934,189,4554,120,2680,8916,0
8872,64282,22900,15566,10035,6104,920,2710,5309,0,4526,980,40500,12,7404,1194,3420,47670,0
8873,112765,29929,13312,8953,16646,6968,10025,390,0,0,17675,64860,10211,22464,4938,0,13686,0
8874,225058,52562,26000,24210,28054,6445,8375,62614,0,0,6550,106914,22887,129000,36000,72000,76776,3000
8875,78879,23060,12556,17527,6510,3675,4133,9720,0,0,2025,43782,1608,16590,5202,0,25830,0
8876,83590,40252,30810,1070,1281,1240,2889,14200,1542,0,3540,26214,753,22782,2082,2370,8388,0
8877,148504,29458,17150,26521,25600,3750,9571,14870,0,780,8570,71370,20846,70266,8034,17500,39552,0
8878,96732,31480,23920,3936,9006,1980,20070,5980,240,2896,900,12750,1220,12378,3642,80,12420,0
8879,122953,30451,22480,21921,15580,5070,4130,21120,4446,0,5344,32958,2324,26124,3384,0,20604,0
8880,107460,31466,18675,21890,15725,3060,6340,6620,910,2409,2760,25800,2230,22230,3642,1450,8262,0
8881,87530,16218,10946,9328,6547,2325,2919,14930,0,13394,1950,30660,18380,11676,1824,300,13200,0
